,,#,Name,Price,24h %,7d %,Market Cap,Volume(24h),Circulating Supply,Last 7 Days,
0,,7082,Stakd Token1001STKD,$0.000003476,1.78%,39.72%,--,--,0 STKD,,
1,,7083,BidenOneTrillionCoin1002B1TC,$0.000000295,1.78%,137.88%,--,--,0 B1TC,,
2,,7084,RemeX1003RMX,$0.000000001577,1.78%,18.10%,--,--,0 RMX,,
3,,7086,Aang Inu1004AANG,$0.0000003996,3.30%,34.75%,--,--,--,,
4,,7088,BooCake1005BOOCAKE,$0.000003354,1.78%,7.14%,--,--,0 BOOCAKE,,
5,,7089,CakeZilla1006CAKEZILLA,$0.00000181,1.78%,31.52%,--,--,0 CAKEZILLA,,
6,,7090,Metti Inu1007METTI,$0.000000001484,19.20%,55.70%,--,--,0 METTI,,
7,,7096,Token Cheetah1008CHTT,$0.00000964,34.93%,56.18%,--,--,0 CHTT,,
8,,7100,Potter Inu1009POTTERINU,$0,--,0.00%,--,--,0 POTTERINU,,
9,,7101,Shibboo Inu1010SHIBBOO,$0,--,0.00%,--,--,--,,
10,,7104,Pumpkin Punks1011PPUNKS,$0.00002018,1.78%,46.60%,--,--,0 PPUNKS,,
11,,7105,Shibacock1012COCK,$0.000000006538,0.00%,26.80%,--,--,0 COCK,,
12,,7108,Silva Token1013SILVA,$0.000000000648,4.76%,2.41%,--,--,0 SILVA,,
13,,7109,FeedEveryShiba1014FES,$0.000000000114,1.78%,68.06%,--,--,0 FES,,
14,,7111,FishCoin1015FISH,$0.000004368,1.78%,33.00%,--,--,0 FISH,,
15,,7113,Arrb Token1016ARRB,$0.000000000526,3.30%,100.00%,--,--,--,,
16,,7114,First Inu1017FINU,$0,--,0.00%,--,--,--,,
17,,7116,FLOKACHU TOKEN1018FLOKACHU,$0.00000008019,1.78%,77.12%,--,--,0 FLOKACHU,,
18,,7118,Bonus Floki1019BonusFloki,$0.0000001208,1.78%,1371.66%,--,--,--,,
19,,7121,ArbaTycoon1020AT,$0,1.79%,17.34%,--,--,0 AT,,
20,,7122,Shiba Fever1021SHIBAFEVER,$0.0000009929,1.78%,87.19%,--,--,0 SHIBAFEVER,,
21,,7125,Drachma1022DRA,$0.000000005245,1.70%,23.97%,--,--,0 DRA,,
22,,7126,Lavabird1023LVBD,$0.000001968,1.61%,39.71%,--,--,0 LVBD,,
23,,7127,MEALS1024MEALS,$0.00001081,1.65%,130.51%,--,--,0 MEALS,,
24,,7128,Cockapoo1025CPOO,$0.00002363,1.61%,21.38%,--,--,0 CPOO,,
25,,7132,Secured Ship1026SHIP,$0.000000001024,1.70%,17.35%,--,--,0 SHIP,,
26,,7133,DaddyBezos1027DJBZ,$0,--,0.00%,--,--,--,,
27,,7134,Ryze Inu1028$RYZEINU,$0.0000001464,3.20%,73.33%,--,--,--,,
28,,7140,Baby Ryukyu Inu1029BRKI,$0,--,0.00%,--,--,--,,
